99,10,35,55,1,35,45,20,1,35,45,20,1,16047
99,55,15,30,0,40,40,20,0,25,35,40,0,14446
99,60,15,25,1,50,15,35,1,90,00,10,1,15358
99,55,45,00,1,45,35,20,1,20,70,10,1,20757
99,30,50,20,1,25,65,10,1,35,05,60,0,19659
99,20,70,10,0,50,25,25,1,65,15,20,1,18158
99,30,30,40,0,10,35,55,0,15,00,85,0,24134
99,40,05,55,1,35,55,10,1,55,05,40,1,15624
99,20,60,20,1,05,80,15,1,35,60,05,1,24390
99,25,10,65,1,10,25,65,1,20,20,60,1,19355
99,10,45,45,0,40,05,55,0,30,45,25,0,16310
99,25,55,20,1,15,75,10,1,25,70,05,1,21722
99,45,30,25,1,10,40,50,0,00,50,50,0,24312
99,55,25,20,1,20,75,05,1,40,50,10,0,21788
99,00,20,80,0,05,75,20,1,45,40,15,1,24082
99,25,40,35,0,30,10,60,0,30,35,35,0,5191
99,50,20,30,1,25,35,40,0,15,60,25,1,4657
99,30,55,15,1,10,40,50,0,35,60,05,1,5327
99,20,65,15,1,35,30,35,1,20,75,05,0,4271
14,05,35,60,0,10,80,10,1,60,10,30,0,1028
16,05,75,20,1,05,70,25,0,10,80,10,0,1122
16,40,55,05,0,75,25,00,1,10,80,10,1,1279
05,05,85,10,0,40,60,00,1,10,70,20,0,1142
12,00,80,20,0,40,20,40,0,00,60,40,0,1419
15,30,70,00,0,65,15,20,0,35,40,25,1,1317
18,30,55,15,0,05,05,90,0,05,70,25,0,1087
10,25,65,10,1,70,05,25,1,75,25,00,1,1220
16,40,40,20,0,00,85,15,1,10,35,55,0,1389
14,50,15,35,1,25,75,00,1,25,70,05,1,1221
16,10,45,45,0,05,90,05,1,40,10,50,0,1034
14,10,15,75,0,30,35,35,1,15,65,20,0,1205
14,50,00,50,0,05,45,50,0,05,40,55,0,1154
09,00,50,50,0,15,50,35,1,05,65,30,0,1988
16,05,05,90,1,85,05,10,0,15,65,20,1,1407
14,25,35,40,1,55,30,15,0,45,55,00,0,1132
13,25,30,45,1,20,75,05,1,45,35,20,1,1036
15,20,75,05,0,25,75,00,0,25,50,25,1,1005
12,15,80,05,0,50,15,35,0,40,35,25,1,1157
15,05,85,10,1,15,75,10,0,20,70,10,1,1442
14,20,40,40,1,20,70,10,1,55,30,15,0,1318
17,25,40,35,1,05,60,35,0,15,05,80,1,1291
15,40,05,55,1,45,25,30,1,15,25,60,1,1185
14,15,45,40,1,35,60,05,1,30,45,25,1,1079
15,15,75,10,1,05,50,45,1,10,70,20,0,1086
15,25,55,20,1,65,05,30,0,05,85,10,1,1049
17,45,20,35,0,10,40,50,1,05,75,20,0,1195
09,05,80,15,0,15,40,45,0,40,20,40,0,1131
15,20,30,50,0,35,45,20,1,80,05,15,0,1789
12,00,95,05,0,30,30,40,1,25,40,35,0,1187
15,10,15,75,1,50,10,40,0,00,75,25,1,1891
09,05,75,20,0,40,20,40,1,40,20,40,1,1071
17,50,30,20,0,45,35,20,0,00,75,25,0,1047
11,30,60,10,1,10,50,40,1,10,80,10,1,1040
16,90,10,00,0,20,40,40,1,65,25,10,1,1281
23,40,15,45,0,40,55,05,0,35,30,35,1,1011
09,10,40,50,1,65,10,25,1,15,45,40,0,1010
16,40,10,50,1,25,65,10,1,65,35,00,1,1598
19,40,25,35,1,45,15,40,1,45,10,45,1,1239
12,15,30,55,1,75,10,15,0,35,65,00,1,1533
15,25,30,45,1,20,80,00,0,30,35,35,0,1523
04,05,70,25,0,65,05,30,1,40,60,00,0,1026
10,30,60,10,1,65,10,25,0,15,50,35,0,1154
13,30,50,20,0,30,40,30,1,45,40,15,1,1303
17,00,85,15,1,45,25,30,1,05,50,45,0,1124
14,20,45,35,1,00,90,10,1,25,65,10,0,1185
17,15,45,40,0,25,45,30,0,55,20,25,1,1259
15,50,05,45,0,35,25,40,0,15,70,15,1,1434
19,50,30,20,1,15,70,15,0,05,55,40,1,1011
14,20,75,05,1,05,35,60,1,05,25,70,1,1403
17,05,65,30,1,00,65,35,0,40,05,55,1,1303
09,10,70,20,0,20,75,05,0,45,55,00,1,1223
15,15,55,30,0,25,70,05,0,70,10,20,0,1345
15,35,55,10,1,30,45,25,0,45,20,35,0,1182
09,60,20,20,1,15,15,70,0,85,05,10,0,1232
14,25,40,35,1,20,75,05,1,65,05,30,1,1188
