"Date","Price","Open","High","Low","Change %"
"Sep 25, 2020","1.1630","1.1671","1.1686","1.1612","-0.36%"
"Sep 24, 2020","1.1672","1.1660","1.1688","1.1626","0.11%"
"Sep 23, 2020","1.1659","1.1708","1.1719","1.1651","-0.40%"
"Sep 22, 2020","1.1706","1.1770","1.1774","1.1691","-0.54%"
"Sep 21, 2020","1.1769","1.1848","1.1873","1.1731","-0.57%"
